Dimension,PopulationSize,Generations,EngineType,Complexity,Best result,Mean best result,Mean first achieved iter,Mean finished eval at,Mean eval ime
5,10,200,Islands(2),0,0.0,0.0,0.0,1.0,4.9
5,10,200,Islands(2),1,9.863276005318713,9.39,0.0,1.0,5.4
5,10,200,Islands(2),2,9.734155261239007,9.24,0.0,1.0,4.6
5,10,200,Islands(2),3,9.571806616979964,9.21,0.0,1.0,5.3
5,10,200,Islands(2),4,9.797752421874522,9.35,0.0,1.0,7.5
5,10,200,Islands(2),5,9.71681055610493,9.32,0.0,1.0,5.2
5,10,200,Islands(8),0,0.0,0.0,0.0,1.0,42.2
5,10,200,Islands(8),1,9.885012844029436,9.73,0.0,1.0,43.5
5,10,200,Islands(8),2,9.902569872344257,9.74,0.0,1.0,40.7
5,10,200,Islands(8),3,9.883055073711223,9.67,0.0,1.0,43.2
5,10,200,Islands(8),4,9.86027381032418,9.76,0.0,1.0,44.6
5,10,200,Islands(8),5,9.792678326527144,9.68,0.0,1.0,42.7
5,10,500,SingleThreaded,0,0.0,0.0,0.0,500.0,2.0
5,10,500,SingleThreaded,1,6.76777144687577,5.16,0.0,500.0,4.0
5,10,500,SingleThreaded,2,6.76777144687577,5.16,0.0,500.0,5.1
5,10,500,SingleThreaded,3,6.76777144687577,5.16,0.0,500.0,7.0
5,10,500,SingleThreaded,4,6.76777144687577,5.16,0.0,500.0,10.9
5,10,500,SingleThreaded,5,6.76777144687577,5.16,0.0,500.0,10.0
5,10,500,MasterSlave,0,0.0,0.0,0.0,500.0,9.1
5,10,500,MasterSlave,1,6.76777144687577,5.16,0.0,500.0,13.2
5,10,500,MasterSlave,2,6.76777144687577,5.16,0.0,500.0,14.5
5,10,500,MasterSlave,3,6.76777144687577,5.16,0.0,500.0,15.5
5,10,500,MasterSlave,4,6.76777144687577,5.16,0.0,500.0,16.5
5,10,500,MasterSlave,5,6.76777144687577,5.16,0.0,500.0,17.3
5,10,500,Islands(2),0,0.0,0.0,0.0,4.0,12.3
5,10,500,Islands(2),1,9.921631679126428,9.42,0.0,4.0,13.5
5,10,500,Islands(2),2,9.65395460145498,9.49,0.0,4.0,12.6
5,10,500,Islands(2),3,9.751343532357579,9.39,0.0,4.0,13.0
5,10,500,Islands(2),4,9.75408052573507,9.5,0.0,4.0,13.5
5,10,500,Islands(2),5,9.816046239685027,9.44,0.0,4.0,14.4
